regionID,solarSystemID,solarSystemName,x,y,z,security,,,
10000016,30001392,Amsen,-145,102,138.00,1,,,
10000016,30001407,Todaki,-174,95.1,122.00,1,,,
10000002,30000145,New Caldari,-137,68.6,114.00,1,,,
10000002,30000141,Kisogo,-136,67.5,89.20,1,,,
10000030,30002544,Pator,-93.6,43.8,56.60,1,,,
10000030,30002547,Ammold,-85.3,18.7,45.40,1,,,
10000067,30005204,Yulai,-235,27.8,36.00,1,,,
10000068,30005305,Cistuvaert,-259,48.3,35.00,1,,,
10000042,30003410,Ryddinjorn,-60.6,42.6,32.30,1,,,
10000064,30004967,Luminaire,-186,37.2,30.50,1,,,
10000064,30004971,Duripant,-213,52.2,28.50,1,,,
10000032,30002715,Bourynes,-166,44.5,27.00,1,,,
10000030,30002505,Hulm,-86.8,37.5,3.05,1,,,
10000043,30003489,Chaven,-180,60,-54.80,1,,,
10000043,30002187,Amarr,-205,40.2,-57.60,1,,,
10000043,30003522,Sarum Prime,-165,81.7,-79.70,1,,,
10000065,30005042,Sehmy,-261,50.7,-105.00,1,,,
10000020,30001672,Emrayur,-220,67.8,-132.00,1,,,
10000030,30032505,Todeko,-84.4,35,1.88,0.992118,,,
10000030,30002518,Edmalbrurdus,-85.4,35,-0.12,0.98923,,,
10000030,30012505,Malukker,-82.7,35.9,4.48,0.988012,,,
10000030,30002511,Ameinaka,-85.7,35.9,7.48,0.987423,,,
10000002,30000138,Ikuchi,-138,63.2,114.00,0.986815,,,
10000002,30010141,Sakenta,-141,63.2,113.00,0.979257,,,
10000037,30003032,Meves,-184,32.4,28.20,0.979147,,,
10000042,30013410,Abrat,-81.1,40.2,3.91,0.978552,,,
10000037,30003031,Athinard,-186,34.2,25.00,0.974909,,,
10000002,30000133,Hirtamon,-134,61.6,112.00,0.974726,,,
10000042,30003383,Todrir,-132,70.6,87.90,0.972757,,,
10000016,30001405,Kakakela,-172,97.1,121.00,0.972291,,,
10000030,30002573,Vullat,-89,41.7,50.10,0.971363,,,
10000002,30021407,Aokannitoh,-137,61.6,109.00,0.970923,,,
10000020,30011672,Kerepa,-224,72.9,-131.00,0.969679,,,
10000002,30000143,Niyabainen,-144,66.6,108.00,0.963924,,,
10000043,30002189,Hedion,-207,35.2,-64.80,0.963853,,,
10000043,30002282,Bhizheba,-198,42,-63.90,0.963646,,,
10000042,30022505,Orgron,-81.3,38.9,10.30,0.961612,,,
10000042,30023410,Embod,-69.3,44.3,30.40,0.960749,,,
10000002,30000139,Urlen,-139,71.5,99.50,0.959995,,,
10000042,30003411,Arlek,-59.2,48.9,35.90,0.959573,,,
10000042,30003409,Leurtmar,-68.3,44.3,27.40,0.957898,,,
10000020,30031672,Safilbab,-221,72.7,-127.00,0.957633,,,
10000030,30042547,Loguttur,-90,41.7,47.10,0.957331,,,
10000042,30003374,Arlulf,-78.3,38.9,7.34,0.956387,,,
10000030,30002524,Ivar,-92.4,41.3,9.22,0.956211,,,
10000042,30003380,Alf,-78.1,40.2,0.91,0.953673,,,
10000030,30002568,Onga,-98.1,42.6,47.70,0.953514,,,
10000002,30000144,Perimeter,-143,64.9,104.00,0.953123,,,
10000042,30043410,Fildar,-96.9,51.2,61.70,0.952626,,,
10000037,30003026,Blameston,-182,41.3,23.80,0.95161,,,
10000033,30002762,Yashunen,-192,53.9,57.00,0.95123,,,
10000037,30003034,Mattere,-180,31.6,32.40,0.951123,,,
10000043,30003524,Irnal,-172,84.7,-79.20,0.950759,,,
10000030,30042505,Usteli,-89.4,41.3,12.20,0.950595,,,
10000020,30001733,Tew,-214,64.7,-128.00,0.949794,,,
10000030,30002543,Eystur,-98.3,48.2,64.10,0.949232,,,
10000030,30012547,Hadaugago,-101,48.2,61.10,0.948772,,,
10000016,30001393,Malkalen,-147,104,143.00,0.948175,,,
10000020,30001723,Assiad,-227,72.9,-130.00,0.947641,,,
10000064,30004968,Mies,-194,34.9,25.60,0.947378,,,
10000016,30031407,Hitanishio,-144,74.8,121.00,0.946749,,,
10000030,30002545,Lustrevik,-97.1,34.3,54.80,0.946263,,,
10000002,30000129,Unpas,-129,64.8,98.30,0.945965,,,
10000002,30000142,Jita,-129,60.8,117.00,0.945913,,,
10000068,30005315,Eletta,-253,45.9,38.40,0.943509,,,
10000033,30002764,Hatakani,-193,49,54.80,0.941061,,,
10000043,30002190,Mabnen,-209,38.2,-68.40,0.940368,,,
10000020,30001673,Shesha,-223,64.3,-140.00,0.939664,,,
10000030,30002570,Magiko,-94.6,35.8,47.90,0.938302,,,
10000042,30003388,Olbra,-93.9,51.2,64.70,0.938167,,,
10000032,30002708,Claysson,-176,37.5,32.00,0.937687,,,
10000020,30041672,Seitam,-217,59.6,-131.00,0.937362,,,
