Date,IBM,TXN,CSCO,QCOM,ORCL,NOK,AMAT
1/2/2009,69.907677,12.922787,13.908728,30.000746,16.57427,10.81596,8.829226
1/5/2009,69.467598,12.777762,14.031741,29.51491,16.28618,10.775351,8.829226
1/6/2009,71.39592,13.253106,14.589402,30.081724,16.556271,10.971633,9.582232
1/7/2009,70.243721,12.552179,14.203962,28.786135,15.890058,10.599371,8.7713
1/8/2009,69.755669,12.310483,14.384381,28.567513,15.863053,10.403084,8.887151
1/9/2009,67.771317,12.05267,13.695506,28.340792,15.628975,10.29479,8.58098
1/12/2009,68.579468,11.867368,13.449478,28.227427,15.349886,9.983442,8.27481
1/13/2009,68.283409,11.955993,13.490483,28.454151,15.430918,9.685631,8.432035
1/14/2009,66.563133,11.359802,12.908217,27.336718,14.728691,9.13062,8.051391
1/15/2009,67.307243,11.714293,12.965626,28.178841,14.881738,9.509654,8.026567
1/16/2009,67.947342,12.101012,12.973825,29.166721,15.223848,9.482578,8.423759
1/20/2009,65.594948,11.609561,12.309553,27.644415,14.494617,8.758356,7.778325
1/21/2009,73.148232,11.730411,12.875416,29.045258,15.205837,9.279526,7.794872
1/22/2009,72.068016,11.569276,12.604786,29.19912,14.989773,8.325176,7.571453
1/23/2009,71.603966,12.076838,13.031232,29.612074,15.106816,8.257492,8.034845
1/26/2009,73.292236,11.899596,13.36747,29.620173,15.268863,8.054439,8.134139
1/27/2009,73.340256,12.334655,13.72011,28.850912,15.556951,8.501156,8.341011
1/28/2009,75.868683,12.626791,13.84312,29.814503,16.061111,8.785431,8.589256
1/29/2009,74.020355,12.131783,13.064034,28.446058,15.836047,8.277797,7.943822
1/30/2009,73.332237,12.131783,12.276751,27.9764,15.151825,8.304871,7.7535
2/2/2009,72.756165,12.732284,12.555579,28.575613,15.214846,8.142427,7.786599
2/3/2009,74.796494,13.000076,12.80981,27.709198,15.349886,8.480848,7.927268
2/4/2009,74.276436,13.349015,12.990228,27.393394,15.493933,8.609449,8.134139
2/5/2009,73.940353,13.665495,13.408475,28.373177,15.863053,8.83281,8.46513
2/6/2009,77.34333,14.103704,13.974337,29.409636,16.178148,9.022325,8.647177
2/9/2009,77.890396,14.038782,13.818521,29.676855,16.250175,8.947872,8.440307
2/10/2009,75.034447,13.40582,13.162446,28.356985,15.827039,8.487617,8.065738
2/11/2009,76.554955,13.170487,13.260857,28.024992,16.025099,8.399628,8.132328
2/12/2009,76.482552,13.300327,13.285461,28.778049,15.800029,8.419934,7.840996
2/13/2009,75.493011,13.754764,13.203451,28.891407,15.953074,8.162734,7.91591
2/17/2009,72.942787,12.797203,12.539177,28.114065,15.268863,7.533268,7.166771
2/18/2009,73.618561,12.862121,12.604786,27.790174,15.520942,7.465584,7.150124
2/19/2009,71.542992,12.139894,12.334157,27.401493,15.151825,7.201616,6.942029
2/20/2009,71.430374,12.204814,12.366958,27.587732,14.908746,7.005331,7.291627
2/23/2009,67.874512,11.920794,11.776492,26.543167,14.278545,6.781973,6.966999
2/24/2009,69.507637,12.407688,12.293152,27.927822,14.800715,6.869962,7.274981
2/25/2009,69.105392,12.464492,12.112732,27.602413,14.620652,6.700751,7.865967
2/26/2009,71.575172,11.880219,11.883106,27.382772,14.206524,6.443551,8.190597
2/27/2009,74.036919,11.644886,11.948711,27.195663,13.990453,6.335255,7.666198
3/2/2009,71.639534,11.174223,11.743692,26.675022,13.684356,5.915612,7.366542
3/3/2009,70.609779,11.523161,11.801095,27.211929,13.513303,6.247266,7.366542
3/4/2009,71.9935,12.050632,12.506374,28.261358,13.468288,6.389404,7.74111
3/5/2009,70.376488,12.091208,11.932313,28.171881,13.081164,6.166044,7.524693
3/6/2009,69.033005,11.937021,11.628881,27.358366,13.027146,5.915612,7.241687
3/9/2009,67.158546,11.920794,11.169631,26.845856,12.468969,5.92915,7.1418
3/10/2009,70.19146,12.707943,12.006122,28.765743,13.585327,6.572151,7.674523
3/11/2009,71.293602,12.748513,12.317756,28.757593,13.810398,6.917342,7.990824
3/12/2009,72.725586,12.935159,12.719598,29.929058,14.071479,7.472353,8.440308
3/13/2009,72.69339,13.154259,12.719598,29.896524,14.008457,7.384363,8.814879
3/16/2009,73.385254,12.748513,12.670394,29.156227,13.414268,7.682175,8.681697
