,AA,AAPL,GE,IBM,JNJ,MSFT,PEP,SPX,XOM
2/1/90 12:00 AM,2185600,4193200,14457600,6903600,5942400,89193600,2954400,154580000,2916400
2/2/90 12:00 AM,3103200,4248800,15302400,6064400,4732800,71395200,2424000,164400000,4250000
2/5/90 12:00 AM,1792800,3653200,9134400,5299200,3950400,59731200,2225400,130950000,5880800
2/6/90 12:00 AM,2205600,2640000,14389200,10808000,3761600,81964800,3270000,134070000,4750800
2/7/90 12:00 AM,3592800,11180800,18704400,12057600,5458400,134150400,4332600,186710000,4124800
2/8/90 12:00 AM,2777600,6680000,16513200,7932000,8669600,95225600,5133000,176240000,5651200
2/9/90 12:00 AM,1582400,6004400,13785600,5061600,3277600,62380800,2628600,146910000,3384800
2/12/90 12:00 AM,2137600,2695600,15488400,4766400,2564800,56086400,1996200,118390000,2698000
2/13/90 12:00 AM,5026400,3653600,20540400,7168400,3635200,58752000,4217400,144490000,3564800
2/14/90 12:00 AM,2588800,3448000,10269600,6006800,3706400,35868800,2660400,138530000,2830000
2/15/90 12:00 AM,4604000,3509200,12546000,5704000,3321600,89494400,2427600,174620000,4054400
2/16/90 12:00 AM,7072800,4556400,21541200,8805600,5688800,70876800,2871000,166840000,7154400
2/20/90 12:00 AM,2692800,4402400,22068000,5599600,4868800,132652800,2303400,147300000,4064400
2/21/90 12:00 AM,2503200,6283600,20756400,8096400,5700000,103347200,4482000,159240000,4263200
2/22/90 12:00 AM,5733600,6976800,17676000,9185600,3635200,60809600,4706400,184320000,5007600
2/23/90 12:00 AM,1409600,5375600,14785200,6251600,8396000,56851200,2362800,148490000,4040000
2/26/90 12:00 AM,1483200,2844800,16886400,5486000,4200000,69219200,4060200,148900000,4702000
2/27/90 12:00 AM,2268000,2642000,20508000,6890800,4824000,62019200,3374400,152590000,4600800
2/28/90 12:00 AM,3841600,3918800,21376800,5761200,6113600,39312000,4620600,184400000,10029200
3/1/90 12:00 AM,5676000,7283200,27291600,4490800,3041600,76867200,3512400,157930000,5619200
3/2/90 12:00 AM,4727200,3761200,20215200,5690000,4372800,100208000,11029800,164330000,5642000
3/5/90 12:00 AM,1647200,6537600,18685200,5509200,4567200,75526400,5386800,140110000,4534400
3/6/90 12:00 AM,2151200,5578800,18181200,5100800,4138400,68630400,4900800,143640000,5135600
3/7/90 12:00 AM,3192800,7301200,12364800,6158400,3178400,47606400,2929200,163580000,4808000
3/8/90 12:00 AM,2243200,8013600,16664400,6947600,3357600,88976000,4893600,170900000,3220000
