Monkey,Treatment,Week,Memory,PerCorrect,NewPerCorrect
Spank,Control,2,Short,95,87.9380829
Spank,Control,4,Short,75,67.9380829
Spank,Control,8,Long,80,72.9380829
Spank,Control,12,Long,65,57.9380829
Spank,Control,16,Long,70,62.9380829
Chim,Control,2,Short,85,93.97873892
Chim,Control,4,Short,75,83.97873892
Chim,Control,8,Long,55,63.97873892
Chim,Control,12,Long,75,83.97873892
Chim,Control,16,Long,85,93.97873892
Chak,Control,2,Short,75,75.68645521
Chak,Control,4,Short,95,95.68645521
Chak,Control,8,Long,60,60.68645521
Chak,Control,12,Long,40,40.68645521
Chak,Control,16,Long,45,45.68645521
Alf,Control,2,Short,85,81.53438524
Alf,Control,4,Short,80,76.53438524
Alf,Control,8,Long,70,66.53438524
Alf,Control,12,Long,45,41.53438524
Alf,Control,16,Long,80,76.53438524
Poet,Control,2,Short,65,77.62427772
Poet,Control,4,Short,80,92.62427772
Poet,Control,8,Long,75,87.62427772
Poet,Control,12,Long,65,77.62427772
Poet,Control,16,Long,65,77.62427772
Jessie,Control,2,Short,70,65.45551387
Jessie,Control,4,Short,90,85.45551387
Jessie,Control,8,Long,85,80.45551387
Jessie,Control,12,Long,75,70.45551387
Jessie,Control,16,Long,75,70.45551387
Phil,Control,2,Short,75,69.96404402
Phil,Control,4,Short,80,74.96404402
Phil,Control,8,Long,70,64.96404402
Phil,Control,12,Long,70,64.96404402
Phil,Control,16,Long,70,64.96404402
Irv,Treated,2,Short,75,81.12371571
Irv,Treated,4,Short,50,56.12371571
Irv,Treated,8,Long,70,76.12371571
Irv,Treated,12,Long,75,81.12371571
Irv,Treated,16,Long,75,81.12371571
Edy,Treated,2,Short,85,87.94269208
Edy,Treated,4,Short,85,87.94269208
Edy,Treated,8,Long,60,62.94269208
Edy,Treated,12,Long,70,72.94269208
Edy,Treated,16,Long,70,72.94269208
Allen,Treated,2,Short,60,55.95842452
Allen,Treated,4,Short,70,65.95842452
Allen,Treated,8,Long,70,65.95842452
Allen,Treated,12,Long,75,70.95842452
Allen,Treated,16,Long,70,65.95842452
Poe,Treated,2,Short,60,54.75295058
Poe,Treated,4,Short,65,59.75295058
Poe,Treated,8,Long,70,64.75295058
Poe,Treated,12,Long,70,64.75295058
Poe,Treated,16,Long,60,54.75295058
Joey,Treated,2,Short,65,63.92825779
Joey,Treated,4,Short,60,58.92825779
Joey,Treated,8,Long,80,78.92825779
Joey,Treated,12,Long,70,68.92825779
Joey,Treated,16,Long,60,58.92825779
Just,Treated,2,Short,55,79
Just,Treated,4,Short,70,94
Just,Treated,8,Long,60,84
Just,Treated,12,Long,65,89
Just,Treated,16,Long,75,99
Junior,Treated,2,Short,60,84
Junior,Treated,4,Short,55,45.30141179
Junior,Treated,8,Long,75,65.30141179
Junior,Treated,12,Long,70,60.30141179
Junior,Treated,16,Long,50,40.30141179
Andy,Treated,2,Short,55,52.19700189
Andy,Treated,4,Short,65,62.19700189
Andy,Treated,8,Long,45,42.19700189
Andy,Treated,12,Long,70,67.19700189
Andy,Treated,16,Long,65,62.19700189
Sport,Treated,2,Short,60,47.96495276
Sport,Treated,4,Short,70,57.96495276
Sport,Treated,8,Long,70,57.96495276
Sport,Treated,12,Long,85,72.96495276
Sport,Treated,16,Long,70,57.96495276
Cornelius,Treated,2,Short,45,44.25521386
Cornelius,Treated,4,Short,60,59.25521386
Cornelius,Treated,8,Long,65,64.25521386
Cornelius,Treated,12,Long,65,64.25521386
Cornelius,Treated,16,Long,70,69.25521386
Duncan,Treated,2,Short,65,59.72330089
Duncan,Treated,4,Short,55,49.72330089
Duncan,Treated,8,Long,55,49.72330089
Duncan,Treated,12,Long,80,74.72330089
Duncan,Treated,16,Long,75,69.72330089
